idx,raw_id,original_sentence,standard_negation,sn_절1,sn_절2,sn_절3,local_negation_type,local_negation,local_부정요소,ln_절1,ln_절2,contradiction,paraphrase,note
1177,73318,저출력차를 제외한 모델에는 압축개방 브레이크와 휠 파크식 사이드 브레이크가 장착되었다.,저출력차를 제외한 모델에는 압축개방 브레이크가 장착되지 않았거나 휠 파크식 사이드 브레이크가 장착되지 않았다.,안 장형,안 장형,,관형절,저출력차를 제외하지 않은 모델에는 압축개방 브레이크와 휠 파크식 사이드 브레이크가 장착되었다.,저출력차를 제외한,안 장형,,저출력차를 제외한 모델에는 압축개방 브레이크가 빠지고 사이드 브레이크만 장착되었다.,저출력 차량을 뺀 모델들에는 압축개방 브레이크와 휠 파크 방식의 사이드 브레이크가 적용되었다.,
1178,681249,부타는 콩고민주공화국 오리앙탈주에 위치한 중형도시이다.,부타는 콩고민주공화국 오리앙탈주에 위치한 중형도시가 아니다.,아니다,,,관형절,부타는 콩고민주공화국 오리앙탈주에 위치하지 않은 중형도시이다.,콩고민주공화국 오리앙탈주에 위치한,안 장형,,부타는 콩고민주공화국 카사이주에 위치한 대도시이다.,"부타는 콩고민주공화국 오리앙탈주에 있는 도시로, 규모는 중간 정도이다.",
1179,664472,에르디아는 그리샤 예거가 진격의 거인과 시조 거인을 계승한 이후 두 마리의 거인을 가지게 되었다.,에르디아는 그리샤 예거가 진격의 거인과 시조 거인을 계승한 이후 두 마리의 거인을 가지게 되지 않았다.,안 장형,,,관형절,에르디아는 그리샤 예거가 진격의 거인이나 시조 거인을 계승하지 않은 이후 두 마리의 거인을 가지게 되었다.,그리샤 예거가 진격의 거인과 시조 거인을 계승한,안 장형,,에르디아는 그리샤 예거가 진격의 거인과 시조 거인을 계승한 이후 두 마리의 거인을 잃게 되었다.,그리샤 예거가 진격의 거인과 시조 거인을 이어받으면서 에르디아는 두 거인을 보유하게 됐다.,
1180,833878,기럇여아림은 이스라엘 땅에 있는 숲의 도시이며 히브리어 성경에 18번 언급된다.,기럇여아림은 이스라엘 땅에 있는 숲의 도시가 아니거나 히브리어 성경에 18번 언급되지 않는다.,아니다,안 장형,,대등절 일부,기럇여아림은 이스라엘 땅에 있는 숲의 도시가 아니며 히브리어 성경에 18번 언급된다.,기럇여아림은 이스라엘 땅에 있는 숲의 도시이며,아니다,,기럇여아림은 이집트 땅에 있는 사막의 도시이며 히브리어 성경에 총 10번 언급된다.,"기럇여아림은 이스라엘에 위치한 숲의 도시로, 히브리어 성경에 총 18회 등장한다.",
1181,322699,"그는 2014년 FIFA 월드컵에 부상으로 출전하지 못했고, 2014년 8월에는 아시안 게임 U-23 대표팀 명단에 들었다.","그는 2014년 FIFA 월드컵에 부상으로 출전했거나, 2014년 8월에는 아시안 게임 U-23 대표팀 명단에 못 들었다.",못 단형,,,대등절 일부,"그는 2014년 FIFA 월드컵에 부상으로 출전하지 못했고, 2014년 8월에는 아시안 게임 U-23 대표팀 명단에 못 들었다.",2014년 8월에는 아시안 게임 U-23 대표팀 명단에 들었다,못 단형,,"그는 2012년 FIFA 월드컵에만 부상으로 출전하지 못했고, 2014년 8월에는 아시안 게임 U-23 대표팀 명단에 들었다.","그는 부상으로 인해 2014년 FIFA 월드컵에 참가하지 못했으나, 같은 해 8월에는 아시안 게임의 U-23 대표 선수로 선발되었다.",
1182,678417,봉상균은 2012년에 한국디자인진흥원으로부터 디자이너 명예의 전당에 헌액되었다.,봉상균은 2012년에 한국디자인진흥원으로부터 디자이너 명예의 전당에 헌액되지 않았다.,안 장형,,,,,,,,봉상균은 2012년에 한국디자인진흥원으로부터 디자이너 명예의 전당에서 영구 배제되었다.,봉상균은 2012년 디자이너 명예의 전당에 오르며 한국디자인진흥원에 의해 헌액되었다.,
1183,771008,몰다비아 민주공화국은 러시아 공화국의 자치 공화국으로 선언되었다.,몰다비아 민주공화국은 러시아 공화국의 자치 공화국으로 선언되지 않았다.,안 장형,,,,,,,,몰다비아 민주공화국은 루마니아 왕국이 단독으로 소유한 자치 공화국으로 선언되었다.,몰다비아 민주공화국은 러시아 공화국의 자치 공화국으로 선포된 바 있다.,
1184,18990,쿠웨이트는 서아시아에 위치한 입헌군주국이며 쿠웨이트의 수도는 쿠웨이트시티이다.,"쿠웨이트는 서아시아에 위치한 입헌군주국이 아니거나, 쿠웨이트의 수도는 쿠웨이트시티가 아니다.",아니다,아니다,,대등절 일부,쿠웨이트는 서아시아에 위치한 입헌군주국이며 쿠웨이트의 수도는 쿠웨이트시티가 아니다.,쿠웨이트의 수도는 쿠웨이트시티이다,아니다,,쿠웨이트는 남아메리카에 위치한 연방공화국이며 쿠웨이트의 유일한 수도는 리야드이다.,"쿠웨이트는 서아시아에 있는 입헌군주국으로, 수도는 쿠웨이트시티이다.",
1185,300858,1995년 중앙아시아 경기 대회가 우즈베키스탄 타슈켄트에서 개최되었다.,1995년 중앙아시아 경기 대회가 우즈베키스탄 타슈켄트에서 개최되지 못했다.,못 장형,,,,,,,,1995년 중앙아시아 경기 대회가 카자흐스탄 알마티에서 개최되었다.,1995년에 우즈베키스탄의 타슈켄트에서 중앙아시아 경기 대회가 열렸다.,
1186,904999,"Addison 앨범의 일부 트랙이 마틴의 스튜디오에서 녹음되었으며, 스파노스가 Addison 앨범이 젊음과 자유의 정신을 담고 있다고 평가했다.","Addison 앨범의 일부 트랙이 마틴의 스튜디오에서 녹음되지 않았거나, 스파노스가 Addison 앨범이 젊음과 자유의 정신을 담고 있다고 평가하지 않았다.",안 장형,안 장형,,인용절,"Addison 앨범의 일부 트랙이 마틴의 스튜디오에서 녹음되었으며, 스파노스가 Addison 앨범이 젊음과 자유의 정신을 담고 있지 않다고 평가했다.",Addison 앨범이 젊음과 자유의 정신을 담고 있다,안 장형,,"Addison 앨범의 모든 트랙이 마틴의 스튜디오에서 녹음되었으며, 스파노스가 Addison 앨범이 냉소와 억압의 정신을 담고 있다고 평가했다.","Addison 앨범에 수록된 곡들 중 일부는 마틴의 스튜디오에서 작업되었고, 스파노스는 이 앨범이 젊음과 자유의 정신을 담았다고 언급했다.",
1187,74095,"NeXT, Inc.는 1985년에 스티브 잡스가 애플 컴퓨터에서 해고된 후 캘리포니아주 레드우드 시티에서 설립한 컴퓨터 회사이며, 3대의 워크스테이션을 개발하여 판매했다.","NeXT, Inc.는 1985년에 스티브 잡스가 애플 컴퓨터에서 해고된 후 캘리포니아주 레드우드 시티에서 설립한 컴퓨터 회사가 아니거나, 3대의 워크스테이션을 개발하여 판매하지 못했다.",아니다,못 장형,,부사절,"NeXT, Inc.는 1985년에 스티브 잡스가 애플 컴퓨터에서 해고된 후 캘리포니아주 레드우드 시티에서 설립한 컴퓨터 회사이며, 3대의 워크스테이션을 개발하지 않아 판매했다.",3대의 워크스테이션을 개발하여,안 장형,,"NeXT, Inc.는 1985년에 스티브 잡스가 애플 컴퓨터에서 승진한 후 텍사스주 오스틴에서 설립한 컴퓨터 회사이며, 1대의 워크스테이션만을 개발하여 판매했다.","1985년, 애플에서 퇴출된 스티브 잡스가 캘리포니아주 레드우드 시티에서 설립한 컴퓨터 회사가 NeXT, Inc.이고, 이 회사는 3종의 워크스테이션을 만들어 판매했다.",
1188,569022,다마노 준은 일본의 전 축구 선수이며 도쿄 베르디에서 활동하였다.,"다마노 준은 일본의 전 축구 선수가 아니거나, 도쿄 베르디에서 안 활동하였다.",아니다,안 단형,,대등절 일부,다마노 준은 일본의 전 축구 선수가 아니며 도쿄 베르디에서 활동하였다.,다마노 준은 일본의 전 축구 선수이며,아니다,,다마노 준은 일본의 현역 축구 선수이며 도쿄 베르디에서 활동하였다.,"다마노 준은 일본의 축구 선수였고, 도쿄 베르디 소속으로 뛰었다.",
1189,122962,"브라질에서 마른고기를 넣은 밥을 아침 식사로 하며, 브라질에서 미나스 치즈와 코알류 치즈가 소비된다.","브라질에서 마른고기를 넣은 밥을 아침 식사로 하지 않거나, 브라질에서 미나스 치즈나 코알류 치즈가 소비되지 않는다.",안 장형,안 장형,,관형절,"브라질에서 마른고기를 넣지 않은 밥을 아침 식사로 하며, 브라질에서 미나스 치즈와 코알류 치즈가 소비된다.",마른고기를 넣은,안 장형,,"브라질에서 마른고기를 넣은 밥은 저녁 식사 때만 먹으며, 브라질에서 미나스 치즈와 코알류 치즈가 소비된다.","브라질에서는 아침에 마른고기가 들어간 밥을 먹고, 미나스 치즈와 코알류 치즈가 사용된다.",
1190,280718,1904년 9월 1일부터 3일까지 그리스 세인트루이스에서 열린 제3회 하계 올림픽 역도 경기에 2개국 5명의 선수가 참가하였다.,1904년 9월 1일부터 3일까지 그리스 세인트루이스에서 열린 제3회 하계 올림픽 역도 경기에 2개국 5명의 선수가 참가하지 못했다.,못 장형,,,관형절,1904년 9월 1일부터 3일까지 그리스 세인트루이스에서 못 열린 제3회 하계 올림픽 역도 경기에 2개국 5명의 선수가 참가하였다.,그리스 세인트루이스에서 열린,못 단형,,1904년 9월 1일부터 3일까지 프랑스 파리에서 열린 제3회 하계 올림픽 역도 경기에 2개국 5명의 선수가 참가하였다.,"1904년 9월 1일부터 3일 사이 그리스 세인트루이스에서 열린 제3회 하계 올림픽 역도 종목에는 5명, 2개국이 참가했다.",
1191,412159,구미 선산읍에서 출토된 삼국 시대 신라의 금동 보살 입상이 1976년 대한민국 국보 제184호로 지정되었다.,구미 선산읍에서 출토된 삼국 시대 신라의 금동 보살 입상이 1976년 대한민국 국보 제184호로 지정되지 못했다.,못 장형,,,관형절,구미 선산읍에서 출토되지 않은 삼국 시대 신라의 금동 보살 입상이 1976년 대한민국 국보 제184호로 지정되었다.,구미 선산읍에서 출토된,안 장형,,구미 선산읍에서 출토된 삼국 시대 신라의 금동 보살 입상이 1976년 대한민국 국보 제148호로 지정되었다.,구미 선산읍에서 발견된 삼국 시대 신라 금동 보살 입상이 1976년에 대한민국 국보 제184호로 선정되었다.,
1193,255150,"닥풀은 중국이 원산지인 한해살이풀이며, 전체에 털이 나고 점성이 있는 뿌리와 곧게 선 원줄기를 가진다.","닥풀은 중국이 원산지인 한해살이풀이 아니거나, 전체에 털이 나고 점성이 있는 뿌리 혹은 곧게 선 원줄기를 안 가진다.",아니다,안 단형,,관형절,"닥풀은 중국이 원산지인 한해살이풀이며, 전체에 털이 안 나거나 점성이 없는 뿌리와 곧게 선 원줄기를 가진다.",전체에 털이 나고 점성이 있는,안 단형,어휘적,"닥풀은 북아메리카가 원산지인 다년생풀이며, 전체에 털이 나고 점성이 있는 뿌리와 휘어진 원줄기를 가진다.","닥풀은 중국에서 유래한 한해살이풀로, 털이 온몸에 나 있으며 점성이 있는 뿌리와 곧은 줄기를 지녔다.",
1194,497596,정재봉의 장남 정성규가 중일전쟁 때 일본군 밀정으로 활동했고 정재봉의 차남과 친척이 일본군에 입대하였다.,"정재봉의 장남 정성규가 중일전쟁 때 일본군 밀정으로 활동하지 않았거나, 정재봉의 차남이나 친척이 일본군에 입대하지 못했다.",안 장형,못 장형,,대등절 일부,정재봉의 장남 정성규가 중일전쟁 때 일본군 밀정으로 활동하지 못했고 정재봉의 차남과 친척이 일본군에 입대하였다.,정재봉의 장남 정성규가 중일전쟁 때 일본군 밀정으로 활동했고,못 장형,,정재봉의 장남 정성규가 중일전쟁 때 일본군 밀정으로 활동했고 정재봉의 차남과 친척은 대한민국 임시정부 산하 한국광복군에서만 평생을 활동하였다.,"정재봉의 첫째 아들 정성규는 중일전쟁 당시 일본군의 밀정으로 일했으며, 그의 둘째 아들과 친척은 일본군에 입대한 바 있다.",
1195,833467,"진타이루역은 베이징 지하철 6호선과 14호선의 환승역이며, 중국 베이징시 차오양구의 여러 가도 교차로에 위치한다.","진타이루역은 베이징 지하철 6호선과 14호선의 환승역이 아니거나, 중국 베이징시 차오양구의 여러 가도 교차로에 위치하지 않는다.",아니다,안 장형,,대등절 일부,"진타이루역은 베이징 지하철 6호선과 14호선의 환승역이며, 중국 베이징시 차오양구의 여러 가도 교차로에 위치하지 않는다.",중국 베이징시 차오양구의 여러 가도 교차로에 위치한다,안 장형,,"진타이루역은 베이징 지하철 2호선의 단일 노선 일반역이며, 중국 베이징시 하이뎬구의 여러 가도 교차로에 위치한다.","진타이루역은 베이징시 차오양구 내 여러 도로가 만나는 곳에 있으며, 지하철 6호선과 14호선이 교차하는 환승역이다.",
1196,209927,1590년에 전라우도수군절도사가 임명될 당시 이순신은 정읍현감이었다.,1590년에 전라우도수군절도사가 임명될 당시 이순신은 정읍현감이 아니었다.,아니다,,,관형절,1590년에 전라우도수군절도사가 임명되지 않을 당시 이순신은 정읍현감이었다.,전라우도수군절도사가 임명될,안 장형,,1590년에 전라우도수군절도사가 임명될 당시 이순신은 전라우도수군절도사였다.,1590년 전라우도수군절도사 임명 시기에 이순신은 정읍현감을 맡고 있었다.,
1197,603216,경기장이 인사르 강 동쪽 둑에 있는 사란스크의 중심부에 위치해 있다.,경기장이 인사르 강 동쪽 둑에 있는 사란스크의 중심부에 위치해 있지 않다.,안 장형,,,관형절,경기장이 인사르 강 동쪽 둑에 있지 않은 사란스크의 중심부에 위치해 있다.,인사르 강 동쪽 둑에 있는,안 장형,,경기장이 인사르 강 서쪽 둑에 있는 사란스크의 변두리에 위치해 있다.,이 경기장은 사란스크 도심의 인사르 강 동쪽 둔덕에 자리하고 있다.,
1198,368890,기독교 운동이 반이성적 관습과 종교적 만행에 대한 반성과 개선을 강조하며 유럽 계몽주의를 실천하기에 영향을 미쳤다.,기독교 운동이 반이성적 관습과 종교적 만행에 대한 반성과 개선을 강조하며 유럽 계몽주의를 실천하기에 영향을 미치지 못했다.,못 장형,,,명사절,기독교 운동이 반이성적 관습과 종교적 만행에 대한 반성과 개선을 강조하며 유럽 계몽주의를 실천하지 않기에 영향을 미쳤다.,유럽 계몽주의를 실천하기,안 장형,,기독교 운동이 반이성적 관습과 종교적 만행의 찬양과 확대를 강조하며 유럽 계몽주의를 실천하기에 영향을 미쳤다.,"기독교 운동은 반이성적 관습과 종교적 행위들을 되돌아보고 고치려는 점을 중시해, 유럽 계몽주의의 실천에 영향을 주었다.",
1199,351035,올림픽 밀리터리패트롤은 1924년 동계 올림픽에서 경기 종목으로 채택된 올림픽 경기이다.,올림픽 밀리터리패트롤은 1924년 동계 올림픽에서 경기 종목으로 채택된 올림픽 경기가 아니다.,아니다,,,관형절,올림픽 밀리터리패트롤은 1924년 동계 올림픽에서 경기 종목으로 채택되지 못한 올림픽 경기이다.,1924년 동계 올림픽에서 경기 종목으로 채택된,못 장형,,올림픽 밀리터리패트롤은 1924년 동계와 하계 중 하계 올림픽에서만 경기 종목으로 채택된 시범 경기이다.,1924년 동계 올림픽에서 정식 종목으로 선정된 올림픽 경기가 밀리터리패트롤이다.,
1200,472187,"일본 오카야마현 니미시에 위치한 오사카베역은 서일본 여객철도 기신선의 지상역이며, 상대식 승강장 2면 2선 구조를 갖추고 있다.","일본 오카야마현 니미시에 위치한 오사카베역은 서일본 여객철도 기신선의 지상역이 아니거나, 상대식 승강장 2면 2선 구조를 갖추고 있지 않다.",아니다,안 장형,,대등절 일부,"일본 오카야마현 니미시에 위치한 오사카베역은 서일본 여객철도 기신선의 지상역이며, 상대식 승강장 2면 2선 구조를 갖추고 있지 않다.",상대식 승강장 2면 2선 구조를 갖추고 있다,안 장형,,"일본 오카야마현 니미시에 위치한 오사카베역은 서일본 여객철도 기신선의 지하역이며, 섬식 승강장 1면 1선 구조를 갖추고 있다.","오사카베역은 일본 오카야마현 니미시에 있는 서일본 여객철도 기신선의 역으로, 지상에 위치하고 있으며 2개의 상대식 승강장과 2개의 선로를 보유하고 있다.",
1201,348774,《미수기언》은 조선 시대 우의정을 지낸 허목이 편찬했으며 여섯 부분으로 구성되어 있다.,"《미수기언》은 조선 시대 우의정을 지낸 허목이 편찬하지 않았거나, 여섯 부분으로 구성되어 있지 않다.",안 장형,안 장형,,대등절 일부,《미수기언》은 조선 시대 우의정을 지낸 허목이 편찬하지 않았으며 여섯 부분으로 구성되어 있다.,《미수기언》은 조선 시대 우의정을 지낸 허목이 편찬했으며,안 장형,,《미수기언》은 조선 시대 우의정을 지낸 허목이 편찬했으며 일곱 부분으로 구성되어 있다.,조선 시대 우의정 허목이 편찬한 《미수기언》은 모두 여섯 부분으로 이루어져 있다.,
1203,271887,미트라 밀교는 안토니누스 피우스와 마르쿠스 아우렐리우스 재위 시기에 핵심 요소가 완전히 갖추어져 로마 제국 내에서 확고하게 실천되었다.,미트라 밀교는 안토니누스 피우스와 마르쿠스 아우렐리우스 재위 시기에 핵심 요소가 완전히 갖추어져 로마 제국 내에서 확고하게 실천되지 않았다.,안 장형,,,부사절,미트라 밀교는 안토니누스 피우스와 마르쿠스 아우렐리우스 재위 시기에 핵심 요소가 완전히 갖추어지지 않아 로마 제국 내에서 확고하게 실천되었다.,핵심 요소가 완전히 갖추어져,안 장형,,미트라 밀교는 안토니누스 피우스와 마르쿠스 아우렐리우스 재위 시기에 핵심 요소가 해체된 채로 로마 제국 내에서 전면적으로 금지되었다.,"미트라 밀교는 안토니누스 피우스와 마르쿠스 아우렐리우스가 지배하던 동안에 로마 제국에서 뚜렷이 자리 잡고 실행되었으며, 이 시기에 그 핵심 요소가 모두 완성되었다.",
1204,244125,"쇼와촌은 아카기산 북쪽 면에 자리하며, 서쪽으로 누마타시, 남쪽으로 시부카와시와 접해 있다.","쇼와촌은 아카기산 북쪽 면에 자리하지 않거나, 서쪽으로 누마타시와 접해 있지 않거나, 남쪽으로 시부카와시와 접해 있지 않다.",안 장형,안 장형,안 장형,대등절 일부,"쇼와촌은 아카기산 북쪽 면에 자리하지 않으며, 서쪽으로 누마타시, 남쪽으로 시부카와시와 접해 있다.",쇼와촌은 아카기산 북쪽 면에 자리하며,안 장형,,"쇼와촌은 아카기산 남쪽 면에 자리하며, 서쪽으로 시부카와시, 남쪽으로 누마타시와 접해 있다.","쇼와촌은 아카기산의 북쪽에 위치해 있고, 서쪽은 누마타시, 남쪽은 시부카와시와 맞닿아 있다.",
1205,875654,고우치촌은 오카야마현 마니와시에 있던 촌이다.,고우치촌은 오카야마현 마니와시에 있던 촌이 아니다.,아니다,,,관형절,고우치촌은 오카야마현 마니와시에 있지 않던 촌이다.,오카야마현 마니와시에 있던,안 장형,,고우치촌은 홋카이도 삿포로시에 있던 촌이다.,고우치촌은 오카야마현 마니와시 내에 위치했던 촌이다.,
1206,787730,트리에스테 스타치오네 델라 메리디오날레는 제1차 세계 대전과 생제르맹 조약 이후 FS의 관리에 편입되었다.,트리에스테 스타치오네 델라 메리디오날레는 제1차 세계 대전과 생제르맹 조약 이후 FS의 관리에 편입되지 않았다.,안 장형,,,,,,,,트리에스테 스타치오네 델라 메리디오날레는 제1차 세계 대전과 생제르맹 조약 이후 오스트리아 국유철도의 관리에 편입되었다.,트리에스테 스타치오네 델라 메리디오날레는 제1차 세계 대전과 생제르맹 조약을 거친 후 FS가 관리하게 되었다.,
1207,570451,다쿠오 오쿠보는 일본의 축구 선수이며 J2리그 시미즈 에스펄스에서 활약하고 있다.,다쿠오 오쿠보는 일본의 축구 선수가 아니거나 J2리그 시미즈 에스펄스에서 활약하고 있지 않다.,아니다,안 장형,,대등절 일부,다쿠오 오쿠보는 일본의 축구 선수가 아니며 J2리그 시미즈 에스펄스에서 활약하고 있다.,다쿠오 오쿠보는 일본의 축구 선수이며,아니다,,다쿠오 오쿠보는 일본의 축구 선수이며 J1리그 가와사키 프론탈레에서 활약하고 있다.,"다쿠오 오쿠보는 일본 국적의 축구 선수로, J2리그 소속 시미즈 에스펄스에서 뛰고 있다.",
1208,479517,《영재 발굴단》은 2015년 3월 25일부터 2019년 12월 18일까지 방송된 교양 프로그램이다.,《영재 발굴단》은 2015년 3월 25일부터 2019년 12월 18일까지 방송된 교양 프로그램이 아니다.,아니다,,,관형절,《영재 발굴단》은 2015년 3월 25일부터 2019년 12월 18일까지 방송되지 못한 교양 프로그램이다.,2015년 3월 25일부터 2019년 12월 18일까지 방송된,못 장형,,《영재 발굴단》은 2015년 3월 25일부터 2019년 12월 18일까지 방송된 드라마이다.,《영재 발굴단》은 2015년 3월 25일부터 2019년 12월 18일까지 방영된 교양 프로그램이다.,
1209,596266,"강승회는 중국 삼국시대 오나라의 역경승이며, 강승회의 조상은 강거에서 인도에 거주하던 사람이다.","강승회는 중국 삼국시대 오나라의 역경승이 아니거나, 강승회의 조상은 강거에서 인도에 거주하던 사람이 아니다.",아니다,아니다,,대등절 일부,"강승회는 중국 삼국시대 오나라의 역경승이 아니며, 강승회의 조상은 강거에서 인도에 거주하던 사람이다.",강승회는 중국 삼국시대 오나라의 역경승이며,아니다,,"강승회는 중국 삼국시대 오나라의 역경승이며, 강승회의 조상은 페르시아에서만 살았던 사람이다.","강승회는 중국 삼국시대 오나라의 승려로, 그의 조상은 인도 강거에서 활동했던 사람들이다.",
1211,650061,애니가 배를 타고 떠나는 것을 배웅한 후 위로를 받고 비행정 준비가 완료되는 동안 프록이 쏜 총에 연료 탱크가 손상되었고 땅울림 소리가 들려왔다.,애니가 배를 타고 떠나는 것을 배웅한 후 위로를 받고 비행정 준비가 완료되는 동안 프록이 쏜 총에 연료 탱크가 손상되지 않았거나 땅울림 소리가 들려오지 않았다.,안 장형,안 장형,,부사절,애니가 배를 타지 않고 떠나는 것을 배웅한 후 위로를 받고 비행정 준비가 완료되는 동안 프록이 쏜 총에 연료 탱크가 손상되었고 땅울림 소리가 들려왔다.,배를 타고,안 장형,,애니가 배를 타고 떠나는 것을 배웅한 후 야유를 받고 비행정 준비가 중단되는 동안 프록이 쏜 총에 연료 탱크가 복구되었고 땅울림 소리가 들려왔다.,"애니를 배웅한 뒤에 위로를 받으며 비행정이 준비되는 사이, 프록이 총을 쏴 연료 탱크에 문제가 생겼고 땅에서 울리는 소리가 났다.",
1212,387290,제7회 하계 올림픽 다이빙 경기는 1920년 8월 22일부터 29일까지 벨기에 안트베르펜에서 개최되었다.,제7회 하계 올림픽 다이빙 경기는 1920년 8월 22일부터 29일까지 벨기에 안트베르펜에서 개최되지 않았다.,안 장형,,,,,,,,"제7회 하계 올림픽 다이빙 경기는 벨기에 안트베르펜에서 개최되었고, 1920년 9월 1일에 시작해 8일에 끝났다.","1920년 8월 22일부터 29일까지, 벨기에 안트베르펜에서 제7회 하계 올림픽 다이빙 경기가 열렸다.",
1213,655225,블룸필드는 일리노이 대학교 재직 중 필리핀 오스트로네시아어족에 속하는 타갈로그어를 연구하고 1914년부터 1917년까지 공학 전공 학생 알프레도 비올라 산티아고를 통해 현장조사를 수행했다.,블룸필드는 일리노이 대학교 재직 중 필리핀 오스트로네시아어족에 속하는 타갈로그어를 연구하지 않았거나 1914년부터 1917년까지 공학 전공 학생 알프레도 비올라 산티아고를 통해 현장조사를 수행하지 않았다.,안 장형,안 장형,,관형절,블룸필드는 일리노이 대학교 재직 중 필리핀 오스트로네시아어족에 속하지 않는 타갈로그어를 연구하고 1914년부터 1917년까지 공학 전공 학생 알프레도 비올라 산티아고를 통해 현장조사를 수행했다.,필리핀 오스트로네시아어족에 속하는,안 장형,,블룸필드는 미시간 대학교 재직 중 중국티베트어족에 속하는 타갈로그어를 연구하고 1914년부터 1917년까지 법학 전공 학생 알프레도 비올라 산티아고를 통해 현장조사를 수행했다.,"블룸필드는 일리노이 대학교에서 근무할 때 필리핀의 오스트로네시아어계 언어인 타갈로그어에 대해 연구했으며, 1914년부터 1917년 사이 공학을 전공하는 학생 알프레도 비올라 산티아고를 통해 현장 조사를 진행했다.",
1214,633078,1967년 이탈리아에서 제작된 자크 타티 감독의 코미디 영화 《플레이타임》에 리타 메이든이 출연하였다.,1967년 이탈리아에서 제작된 자크 타티 감독의 코미디 영화 《플레이타임》에 리타 메이든이 출연하지 않았다.,안 장형,,,관형절,1967년 이탈리아에서 제작되지 못한 자크 타티 감독의 코미디 영화 《플레이타임》에 리타 메이든이 출연하였다.,이탈리아에서 제작된,못 장형,,1967년 이탈리아에서 제작된 페데리코 펠리니 감독의 코미디 영화 《플레이타임》에 리타 메이든이 출연하였다.,리타 메이든은 1967년에 이탈리아에서 자크 타티가 연출한 코미디 영화 《플레이타임》에 등장했다.,
1215,281262,1988년 10월 1일 조지아 정교회 신학교가 트빌리시에 개교한 이후 성당이 재개방되고 전국에 6곳의 신학교가 마련되었다.,1988년 10월 1일 조지아 정교회 신학교가 트빌리시에 개교한 이후 성당이 재개방되지 않았거나 전국에 6곳의 신학교가 마련되지 않았다.,안 장형,안 장형,,대등절 일부,1988년 10월 1일 조지아 정교회 신학교가 트빌리시에 개교한 이후 성당이 재개방되지 않고 전국에 6곳의 신학교가 마련되었다.,성당이 재개방되고,안 장형,,1988년 10월 1일 조지아 정교회 신학교가 트빌리시에 폐교한 이후 성당이 재개방되고 전국에 여섯 개의 신학교가 마련되었다.,"1988년 10월 1일 트빌리시에서 조지아 정교회 신학교가 개교한 뒤, 성당이 다시 문을 열고 전국적으로 여섯 개의 신학교가 생겼다.",
1216,512295,"수렴방법은 적은 수의 반응으로 완벽한 차세대 덴드론들을 제조하며, 생성된 덴드론을  불순물로부터 쉽게 분리한다.","수렴방법은 적은 수의 반응으로 완벽한 차세대 덴드론들을 제조하지 못하거나, 생성된 덴드론을  불순물로부터 쉽게 분리하지 못한다.",못 장형,못 장형,,부사절,"수렴방법은 적은 수의 반응으로 완벽한 차세대 덴드론들을 제조하며, 생성된 덴드론을  불순물로부터 쉽지 않게 분리한다.",쉽게,안 장형,,"수렴방법은 많은 수의 반응으로 완전한 차세대 덴드론들을 제조하며, 생성된 덴드론을  불순물로부터 쉽게 분리한다.","수렴방법을 사용하면 적은 반응 횟수로 순수한 차세대 덴드론을 만들고, 만들어진 덴드론은 불순물과 손쉽게 분리된다.",
1218,508348,UEFA 유로 2012에서 예선 I조의 순위와 경기 결과에 따라 각 조 1위 팀이 본선에 직행한다.,UEFA 유로 2012에서 예선 I조의 순위와 경기 결과에 따라 각 조 1위 팀이 본선에 직행하지 않는다.,안 장형,,,,,,,,UEFA 유로 2012에서 예선 I조의 순위와 경기 결과에 따라 각 조 2위 팀이 단독으로 본선에 직행한다.,UEFA 유로 2012에서는 예선 I조의 순위와 경기 결과에 의해 각 조 1위가 바로 본선에 진출한다.,
1219,525598,서머싯섬은 캐나다 누나부트 준주의 북극 제도에 속하며 프린스오브웨일스섬과 배핀섬 사이에 위치해 있다.,서머싯섬은 캐나다 누나부트 준주의 북극 제도에 속하지 않거나 프린스오브웨일스섬과 배핀섬 사이에 위치해 있지 않다.,안 장형,안 장형,,대등절 일부,서머싯섬은 캐나다 누나부트 준주의 북극 제도에 속하며 프린스오브웨일스섬과 배핀섬 사이에 위치해 있지 않다.,프린스오브웨일스섬과 배핀섬 사이에 위치해 있다,안 장형,,서머싯섬은 캐나다 누나부트 준주의 남극 제도에 속하며 프린스오브웨일스섬과 배핀섬 남쪽에 위치해 있다.,"서머싯섬은 캐나다 누나부트 준주 북극 제도에 있는 섬으로, 프린스오브웨일스섬과 배핀섬 중간에 자리한다.",
